INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,SALES_PRICE
1219,1,1,3,Yes,Others,5943875
1033,1,1,3,Yes,House,8023795
861,1,1,3,Yes,House,7587075
963,1,1,3,Yes,House,7944000
1537,2,1,4,No,Others,7468400
1579,2,2,4,No,Commercial,9343500
1925,2,1,5,Yes,House,12688340
1584,2,2,4,No,Commercial,10495250
1829,2,1,5,Yes,House,14229060
1761,2,1,4,No,Commercial,11360310
1204,1,1,3,Yes,Others,7452250
1165,1,1,3,No,House,8196250
1109,1,1,3,No,House,8713900
818,1,1,3,Yes,Commercial,11752250
1600,1,1,4,No,House,12213120
1170,1,1,3,No,Others,8322500
1288,2,1,4,No,House,8935000
1598,1,1,4,Yes,House,13358600
722,1,1,2,No,Others,6494240
798,1,1,2,No,House,6486150
933,1,1,3,Yes,Commercial,8745000
1086,1,1,3,Yes,Commercial,14021800
1952,3,2,5,No,House,9671160
1052,1,1,3,No,Others,7871490
1786,2,1,4,No,Commercial,14205080
1652,2,2,4,No,Others,7014500
1607,2,2,4,Yes,House,6227250
1229,2,1,4,No,House,7946950
1902,2,1,5,No,Commercial,20181980
1677,2,1,4,No,Commercial,12695370
979,1,1,3,Yes,House,8959150
655,1,1,2,No,Commercial,7924640
947,1,1,3,Yes,Commercial,11867800
1882,3,2,5,No,Commercial,12402070
963,1,1,3,Yes,House,8260400
1055,1,1,3,Yes,Commercial,12069000
1390,2,2,4,No,Others,5940500
1599,2,1,4,Yes,Others,7989570
1591,2,2,4,No,House,8791000
1265,1,1,3,Yes,Commercial,10027000
870,1,1,3,Yes,Commercial,11111010
1122,1,1,3,Yes,Others,8599095
613,1,1,2,Yes,Others,6703210
1670,2,1,4,Yes,House,8153390
1338,2,1,4,No,Commercial,12846980
1319,1,1,3,No,Others,7826780
1710,2,1,4,Yes,House,10978140
1938,2,1,5,Yes,House,11802180
1058,1,1,3,Yes,Others,8388500
1251,2,1,4,No,Commercial,14239850
1710,1,1,4,No,Commercial,18299980
617,1,1,2,No,Others,4917940
916,1,1,3,No,Others,6177070
1027,1,1,3,No,House,7671200
1223,2,2,4,No,Others,6897450
1422,2,1,4,Yes,Commercial,13940580
1081,1,1,3,Yes,Commercial,12370100
1603,2,1,4,Yes,Commercial,14102650
1762,1,1,4,Yes,Others,14682580
1219,2,2,4,No,House,7400260
1953,3,2,5,Yes,House,10288980
1208,1,1,3,No,Others,6377750
849,1,1,2,Yes,Commercial,6312750
522,1,1,2,No,House,4362750
1610,2,2,4,No,Commercial,12520250
1945,3,2,5,Yes,House,10834460
884,1,1,3,Yes,Others,9426345
668,1,1,2,No,House,5232500
740,1,1,2,No,House,5283000
1158,1,1,3,Yes,Others,10416480
1840,3,2,5,Yes,Commercial,15715370
829,1,1,3,Yes,House,9179950
1650,1,1,4,No,Commercial,17115030
1663,1,1,4,No,Others,12869560
1913,3,2,5,No,House,7030720
1963,3,2,5,No,House,8636980
1806,2,1,5,No,Others,14638800
1630,2,1,4,No,House,7279480
1016,1,1,3,No,House,4473750
1823,2,1,5,Yes,Commercial,20527770
1185,1,1,3,No,Commercial,12387700
1478,2,2,4,No,House,4458750
875,1,1,3,Yes,House,8537500
2087,3,2,5,Yes,House,11552700
1970,2,1,5,Yes,House,13703500
1645,2,1,4,Yes,Commercial,13920600
1856,2,1,5,No,Commercial,19550620
1782,2,1,4,Yes,Commercial,16068640
1465,2,2,4,Yes,House,6397000
2439,4,2,6,No,House,11119720
1693,2,1,4,No,Others,11431660
1737,1,1,4,No,Others,12793250
1111,1,1,3,Yes,House,8631250
2485,4,2,6,No,Commercial,18984160
1568,2,1,4,Yes,Others,12415670
512,1,1,2,No,Commercial,5244500
958,1,1,3,No,Commercial,10720550
1565,1,1,4,Yes,Commercial,19685020
1706,2,1,4,Yes,Commercial,14400140
1616,2,1,4,Yes,House,10094160
1531,1,1,4,No,Commercial,17480550
1636,1,1,4,Yes,Others,13380530
1997,3,2,5,Yes,Commercial,16469500
915,1,1,3,Yes,Others,8133300
1046,1,1,3,No,Commercial,10760220
1465,2,1,4,No,House,10148180
1399,2,1,4,Yes,Others,10695340
1126,1,1,3,No,Others,8882720
1368,2,2,4,No,House,6774750
709,1,1,2,No,House,6435300
1550,1,1,4,No,House,11109230
1882,3,2,5,Yes,Commercial,14239220
1538,1,1,4,Yes,House,11312920
1881,3,2,5,No,Commercial,14495770
641,1,1,2,No,Commercial,9947855
1912,2,1,5,No,House,12364840
1194,1,1,3,Yes,Commercial,13683650
1502,2,2,4,Yes,House,9328250
1649,1,1,4,No,Commercial,18803650
854,1,1,2,No,House,7581750
2388,4,2,6,Yes,House,12014520
1381,2,2,4,No,House,8286250
838,1,1,3,Yes,Commercial,12194550
1684,2,1,4,Yes,Commercial,14994840
1740,1,1,4,Yes,House,13695970
1918,2,1,5,Yes,Commercial,20747530
669,1,1,2,No,Others,5110125
965,1,1,3,No,Others,9625300
1899,3,2,5,No,House,8433410
1553,2,1,4,No,House,6766430
976,1,1,3,Yes,House,6895500
1628,1,1,4,No,House,12651550
894,1,1,3,Yes,Others,9038780
1734,1,1,4,No,House,10497580
662,1,1,2,No,Commercial,5073500
994,1,1,3,No,Commercial,10834880
1033,1,1,3,No,Commercial,11718800
1462,2,2,4,No,House,4361500
1662,1,1,4,Yes,Commercial,19074830
1865,3,2,5,No,House,9859360
1042,1,1,3,Yes,Others,5265250
828,1,1,3,No,Others,7553060
850,1,1,3,No,House,7123750
1562,2,2,4,Yes,Commercial,11359000
1425,2,1,4,Yes,House,9762100
1813,2,1,5,No,Others,12370550
1973,3,2,5,No,House,8962970
1558,1,1,4,No,House,10841760
1702,2,1,4,Yes,House,10140700
1781,1,1,4,No,Commercial,17959010
1538,1,1,4,Yes,Commercial,17749320
1906,3,2,5,Yes,Commercial,16602700
1782,1,1,4,Yes,Others,14980260
848,1,1,3,Yes,Commercial,11476830
737,1,1,2,Yes,Commercial,10276200
1512,1,1,4,Yes,Others,13737610
1956,3,2,5,Yes,House,11373920
1402,2,1,4,No,Commercial,13085580
779,1,1,2,Yes,Others,7574830
1625,1,1,4,No,Others,12085470
1724,1,1,4,No,Others,12337540
2277,4,2,6,Yes,Others,13310520
1692,1,1,4,Yes,Others,13669910
1184,1,1,3,Yes,Commercial,13860650
657,1,1,2,No,Others,3643875
942,1,1,3,No,House,7766550
1535,2,1,4,Yes,Commercial,14211850
966,1,1,3,Yes,Commercial,13231850
1294,1,1,3,Yes,Others,9160750
2042,3,2,5,Yes,Others,11848520
1110,1,1,3,Yes,Others,8561060
819,1,1,3,Yes,House,8131900
1132,1,1,3,No,Commercial,13709700
900,1,1,3,Yes,Others,10128440
2486,4,2,6,Yes,Commercial,19615980
896,1,1,3,Yes,Commercial,6765500
1749,2,1,4,Yes,Commercial,15388610
1252,2,1,4,Yes,Commercial,14902450
1234,2,1,4,No,Commercial,13822150
2306,4,2,6,Yes,House,11319280
814,1,1,3,No,Others,8890930
878,1,1,3,No,Others,9209360
1053,1,1,3,No,Commercial,13217400
1809,2,1,5,No,Commercial,20034510
1871,2,1,5,No,Others,14904220
802,1,1,3,Yes,Commercial,9721700
1191,1,1,3,Yes,House,9894050
1025,1,1,3,No,Others,10843610
1392,2,1,4,No,Commercial,12286360
2499,4,2,6,Yes,Others,13397920
1290,1,1,3,Yes,House,8700500
1760,1,1,4,Yes,Commercial,20346350
1279,2,1,4,No,Others,9795730
816,1,1,3,No,Commercial,10008100
1904,2,1,5,No,Commercial,20838520
1502,2,1,4,No,Commercial,12614460
922,1,1,3,Yes,Others,8634640
1781,1,1,4,No,Commercial,20518750
645,1,1,2,Yes,Commercial,8793480
1142,1,1,3,No,Commercial,12807300
1674,1,1,4,No,House,10410130
781,1,1,2,No,Commercial,11157780
1274,2,2,4,No,Others,9335050
687,1,1,2,No,Others,5913625
1886,2,1,5,No,Others,14671170
1598,1,1,4,Yes,Commercial,20024110
593,1,1,2,Yes,House,6474250
1815,2,1,5,No,Commercial,19814280
1121,1,1,3,No,Others,5849125
1182,1,1,3,No,Others,10097940
1864,2,1,5,No,Others,12867590
2125,3,2,5,No,Commercial,16656560
955,1,1,3,No,House,9743700
1625,2,1,4,No,Commercial,13718940
864,1,1,3,Yes,Commercial,12556650
1183,1,1,3,Yes,Others,10453960
938,1,1,3,No,House,4918500
1040,1,1,3,Yes,House,7600500
849,1,1,3,Yes,Commercial,11650600
914,1,1,3,Yes,Others,6688000
1156,1,1,3,Yes,House,8947750
830,1,1,3,Yes,Commercial,10858850
1655,2,1,4,No,House,9843580
1693,2,1,4,Yes,House,10021800
1014,1,1,3,Yes,Commercial,13091650
1148,1,1,3,No,House,8179150
2453,4,2,6,No,Others,13729040
2167,3,2,5,No,Others,12477240
1404,2,2,4,Yes,Others,9146500
1545,1,1,4,No,Others,13986920
1634,2,1,4,Yes,House,8177900
1268,2,1,4,Yes,House,10982650
1682,2,1,4,Yes,Others,12239160
1787,2,1,4,No,Others,9640180
1337,2,2,4,Yes,Others,7953125
695,1,1,2,Yes,Others,6149410
1930,2,1,5,No,House,13060780
1042,1,1,3,Yes,Others,10581040
1613,1,1,4,No,Commercial,17538420
1270,1,1,3,Yes,House,8953500
997,1,1,3,Yes,Commercial,12056200
726,1,1,2,No,House,6280650
1853,3,2,5,No,Others,10017780
1591,2,1,4,No,House,8353830
1980,2,1,5,No,Others,14332790
2226,4,2,6,Yes,House,11670400
808,1,1,3,No,Commercial,11949085
1376,2,2,4,No,House,8105250
1868,2,1,5,No,Commercial,20033450
1311,1,1,3,No,House,6532250
805,1,1,3,Yes,Others,8934405
706,1,1,2,No,Others,7818970
1464,2,2,4,No,Others,6272750
648,1,1,2,No,Commercial,10374210
1917,3,2,5,Yes,House,11081520
1018,1,1,3,Yes,Others,9213320
1694,1,1,4,Yes,Commercial,18855250
1112,1,1,3,Yes,Commercial,13363650
950,1,1,3,Yes,House,6408750
1282,2,2,4,Yes,House,10934170
1639,2,1,4,No,House,7016840
1501,2,1,4,Yes,Others,10681680
765,1,1,2,No,House,5737000
1765,1,1,4,No,House,13668850
1518,2,2,4,Yes,Others,6597000
2417,4,2,6,No,House,11436120
1070,1,1,3,Yes,House,5046750
1784,1,1,4,Yes,Others,14819560
1188,1,1,3,No,Others,9797510
1494,2,2,4,Yes,House,8188000
1810,2,1,5,No,Commercial,20441490
738,1,1,2,Yes,House,6799000
1564,2,1,4,No,House,10019360
1211,1,1,3,No,Commercial,8505000
1662,2,1,4,Yes,Commercial,13384340
1530,2,1,4,No,Commercial,10851180
909,1,1,3,Yes,House,8310590
690,1,1,2,Yes,Others,7486235
780,1,1,2,No,House,7060000
1195,1,1,3,No,House,10210500
1428,2,2,4,Yes,Commercial,13180500
746,1,1,2,Yes,Others,6390690
921,1,1,3,No,Others,7178250
607,1,1,2,No,House,5383105
712,1,1,2,No,House,6978025
2312,4,2,6,No,House,12569800
1809,3,2,5,No,Others,11269470
1872,2,1,5,No,Others,14822920
2286,4,2,6,No,Others,13403120
1648,2,2,4,No,House,5314000
1522,1,1,4,No,Others,11584500
919,1,1,3,No,Commercial,12157650
1858,2,1,5,Yes,House,12695630
1082,1,1,3,Yes,Commercial,12944300
1338,2,2,4,Yes,Others,7384750
1559,2,2,4,No,House,5749000
860,1,1,2,No,Others,6063250
1769,2,1,4,Yes,Others,9626680
1197,1,1,3,No,House,9273100
1971,3,2,5,Yes,Commercial,15559710
1966,3,2,5,Yes,House,9665040
2176,3,2,5,No,Others,11751940
1519,2,2,4,No,Others,5686125
1892,3,2,5,Yes,Others,11526700
786,1,1,2,No,House,6900800
942,1,1,3,Yes,Others,9824040
1344,2,2,4,Yes,House,7524750
943,1,1,3,Yes,Others,7102125
1098,1,1,3,No,House,8901650
1190,1,1,3,No,House,6499750
1590,2,1,4,Yes,House,9637220
1040,1,1,3,Yes,Commercial,9567000
1524,2,1,4,No,Others,9890620
1132,1,1,3,Yes,House,8356850
1699,1,1,4,Yes,Commercial,19297260
1204,2,1,4,Yes,Others,10096480
1003,1,1,3,No,Commercial,13709595
1610,1,1,4,Yes,House,12364800
1869,3,2,5,No,House,8074630
1676,1,1,4,Yes,Commercial,20302130
929,1,1,3,Yes,House,9494835
1265,1,1,3,No,Others,8970625
1585,1,1,4,No,Commercial,17556170
729,1,1,2,No,Commercial,9860400
1882,2,1,5,No,House,12235870
912,1,1,3,Yes,Commercial,9350240
2147,3,2,5,No,Commercial,17180560
898,1,1,3,Yes,Commercial,12906800
1979,3,2,5,Yes,Commercial,15965590
1398,2,2,4,No,House,7443250
942,1,1,3,Yes,House,5895000
1504,2,2,4,No,House,7868000
821,1,1,3,Yes,House,8707750
1045,1,1,3,No,Commercial,11329800
1149,1,1,3,No,House,8318450
1666,1,1,4,Yes,Others,13009590
1210,1,1,3,Yes,Others,8333250
1523,2,1,4,Yes,Others,8078620
891,1,1,3,No,Commercial,10674350
1955,2,1,5,Yes,Commercial,22302670
1191,1,1,3,No,Others,10749120
1641,2,1,4,No,Others,9575120
740,1,1,2,Yes,House,7525500
1588,2,1,4,No,Commercial,11385450
1272,1,1,3,Yes,Others,7544000
879,1,1,3,No,Commercial,12177400
1228,2,1,4,No,Others,10071110
946,1,1,3,No,Commercial,7922250
867,1,1,2,Yes,Commercial,7691250
1932,3,2,5,Yes,House,7733620
1617,2,1,4,No,Commercial,13014740
2179,3,2,5,Yes,Commercial,18485760
1040,1,1,3,Yes,House,4437750
950,1,1,3,Yes,Commercial,8047500
1354,2,2,4,No,House,5131250
1739,2,1,4,No,Commercial,11730190
935,1,1,3,No,Commercial,11679050
1484,2,2,4,Yes,Others,6790750
2182,3,2,5,No,Others,11774560
1711,1,1,4,No,Others,11523870
886,1,1,3,No,Others,6956820
1760,2,1,4,Yes,Commercial,16616430
1283,2,1,4,Yes,House,9606750
1155,1,1,3,No,House,6125250
752,1,1,2,Yes,House,5807250
1888,3,2,5,Yes,House,11805840
1211,2,1,4,No,Commercial,13261700
1248,1,1,3,Yes,Others,5710250
1892,3,2,5,Yes,Commercial,16967540
1030,1,1,3,No,House,5743315
1254,2,1,4,No,Others,9095330
1762,2,1,4,No,Commercial,14826580
1622,2,2,4,No,Commercial,11168750
951,1,1,3,No,Commercial,11264700
1981,2,1,5,No,Commercial,20697180
1628,2,2,4,No,House,6008250
797,1,1,2,No,House,7142850
1587,2,2,4,Yes,Commercial,11268000
1081,1,1,3,No,Commercial,11318950
1895,2,1,5,Yes,Others,14358470
973,1,1,3,Yes,Commercial,12173800
844,1,1,3,Yes,House,9319450
965,1,1,3,No,House,6598000
1742,2,1,4,No,Others,8539610
1304,1,1,3,Yes,Others,10779980
1510,1,1,4,No,House,11220930
1888,2,1,5,Yes,Commercial,21014810
1540,1,1,4,Yes,Commercial,19142980
1023,1,1,3,Yes,Others,7310375
798,1,1,2,No,Commercial,7506500
1624,1,1,4,Yes,House,13099130
1612,2,1,4,No,House,8599740
1723,1,1,4,Yes,Others,14028720
950,1,1,3,Yes,Commercial,11873250
1919,2,1,5,Yes,Commercial,20496430
1528,1,1,4,Yes,Others,14203260
1081,1,1,3,Yes,House,5940250
1002,1,1,3,Yes,Others,10232240
937,1,1,3,No,House,9037200
2372,4,2,6,Yes,House,13851040
1237,2,1,4,No,Commercial,13331300
1242,2,1,4,No,Commercial,13896950
1700,2,1,4,Yes,House,7326290
2422,4,2,6,No,House,12532900
801,1,1,3,No,House,7385300
1503,2,1,4,No,Commercial,10769370
1549,1,1,4,Yes,Commercial,18531930
606,1,1,2,Yes,Commercial,8605340
1277,2,1,4,Yes,House,10150100
791,1,1,2,No,Commercial,9525100
1878,2,1,5,No,Commercial,20734630
806,1,1,2,No,Others,7210750
1543,1,1,4,Yes,Commercial,19083430
1363,2,1,4,Yes,Commercial,12572000
1584,1,1,4,No,Others,11173220
1794,1,1,4,Yes,Commercial,20940460
704,1,1,2,Yes,House,6965500
1531,1,1,4,No,Others,11779810
1003,1,1,3,Yes,Others,9778110
1010,1,1,3,Yes,House,9773000
1794,1,1,4,Yes,House,12653630
1756,2,1,4,No,Others,10630800
1188,1,1,3,Yes,Commercial,14196640
1164,1,1,3,No,Commercial,12873650
1851,2,1,5,Yes,Others,13698720
1176,1,1,3,Yes,Others,10881370
1503,2,1,4,Yes,Others,11327760
1621,2,2,4,Yes,Others,8892625
883,1,1,2,No,Others,5057875
1257,2,1,4,Yes,House,9481950
552,1,1,2,Yes,Others,4950250
1803,2,1,5,Yes,Others,12993900
721,1,1,2,Yes,Commercial,6453250
1573,2,1,4,No,Others,8545010
723,1,1,2,Yes,House,8725650
1148,1,1,3,No,Others,10437110
1513,2,1,4,No,Others,9507320
951,1,1,3,No,House,7862800
2449,4,2,6,No,Others,12084280
1597,1,1,4,Yes,Others,12569440
1058,1,1,3,No,Commercial,7020750
1438,2,2,4,Yes,House,6505500
1616,2,2,4,No,House,5829250
632,1,1,2,Yes,Commercial,11719720
953,1,1,3,No,House,8801100
1714,2,1,4,No,House,9470340
1334,2,1,4,No,Commercial,11813720
1770,1,1,4,No,Commercial,19844870
1098,1,1,3,Yes,House,6465000
1010,1,1,3,No,House,9207350
1195,1,1,3,No,Commercial,10795500
624,1,1,2,No,House,5378000
1272,2,1,4,No,Others,10030140
1324,1,1,3,No,House,9140480
2424,4,2,6,Yes,Commercial,18796780
1438,2,1,4,Yes,Commercial,13444320
701,1,1,2,Yes,Commercial,11764865
1236,2,1,4,Yes,Others,11240520
1744,2,1,4,Yes,Others,7670180
1078,1,1,3,Yes,Others,8372710
901,1,1,3,Yes,House,9491300
1669,2,1,4,Yes,Commercial,13852750
1073,1,1,3,No,Others,9537120
1273,1,1,3,No,Commercial,11026000
1235,2,2,4,No,Commercial,13158180
1400,2,2,4,No,Others,6195750
1598,1,1,4,Yes,Others,11450470
1819,2,1,5,No,House,13763020
902,1,1,3,No,Commercial,12133045
795,1,1,2,Yes,Others,9954125
1763,2,1,4,Yes,Commercial,15329240
1848,3,2,5,No,Commercial,14445470
1288,2,1,4,Yes,Commercial,15780550
1615,2,1,4,Yes,House,10172480
1026,1,1,3,Yes,Commercial,13885100
1598,2,1,4,Yes,Commercial,11762090
1896,3,2,5,Yes,House,9315600
2276,4,2,6,No,Others,13221960
2407,4,2,6,No,Commercial,17099760
1083,1,1,3,No,Others,9692960
728,1,1,2,Yes,House,7638500
1894,2,1,5,No,House,11863010
1595,1,1,4,Yes,House,11679830
1274,2,1,4,No,Commercial,14254400
1760,1,1,4,No,House,12308520
969,1,1,3,Yes,Commercial,11157225
1652,2,1,4,Yes,House,9463960
1211,1,1,3,No,Others,7491375
958,1,1,3,Yes,Commercial,12863400
818,1,1,3,Yes,House,8027500
958,1,1,3,Yes,Commercial,11221720
1091,1,1,3,Yes,Commercial,14893850
1066,1,1,3,Yes,House,9572300
2371,4,2,6,No,House,10463400
1451,2,2,4,Yes,Commercial,10475000
1985,2,1,5,No,Commercial,21969520
1853,3,2,5,Yes,Commercial,16550350
1841,3,2,5,No,House,9871170
1767,1,1,4,Yes,Commercial,20331090
1147,1,1,3,Yes,House,9352100
1232,2,1,4,No,House,8588100
1264,2,1,4,No,Others,10265430
898,1,1,3,Yes,Commercial,9451250
743,1,1,2,Yes,Others,8010660
1064,1,1,3,Yes,Others,9955930
980,1,1,3,Yes,Others,10044600
1780,1,1,4,No,Commercial,19459290
1665,2,1,4,Yes,Others,12054580
1852,3,2,5,Yes,Commercial,14646780
1231,2,1,4,No,Commercial,13874850
1413,2,1,4,Yes,House,8992960
2443,4,2,6,No,Commercial,18334400
1071,1,1,3,Yes,House,10223050
1614,2,1,4,No,Others,10282340
1302,1,1,3,Yes,House,10423760
1923,2,1,5,No,House,12320640
805,1,1,3,Yes,Others,7915350
1586,1,1,4,No,House,10671450
1883,3,2,5,No,Commercial,13650440
1582,2,1,4,No,Commercial,12363680
1109,1,1,3,Yes,House,9977280
968,1,1,3,No,Others,6297250
1687,2,2,4,No,Commercial,11110000
1754,2,1,4,No,House,7091060
1766,1,1,4,Yes,Others,13161500
1656,2,1,4,Yes,Commercial,14178210
805,1,1,3,No,Commercial,8828350
726,1,1,2,No,Commercial,6553750
1228,1,1,3,No,Commercial,10933000
1995,2,1,5,No,Commercial,20550920
931,1,1,3,No,Commercial,8092500
737,1,1,2,No,Others,5940040
1762,2,1,4,Yes,Commercial,14912460
1726,2,1,4,Yes,Commercial,14471130
1915,2,1,5,Yes,Others,15090150
729,1,1,2,Yes,Others,7918980
1653,2,2,4,No,Commercial,11248000
1261,2,1,4,Yes,Commercial,15044200
1744,2,1,4,No,House,9872490
791,1,1,2,No,House,7359275
2199,3,2,5,Yes,House,12687420
1915,3,2,5,No,House,6997850
857,1,1,3,Yes,House,7738700
1853,2,1,5,Yes,Commercial,21437220
1701,1,1,4,No,House,12185540
963,1,1,3,No,Commercial,11224050
1889,2,1,5,Yes,House,13041980
1544,2,1,4,Yes,House,7359840
916,1,1,3,Yes,Commercial,12501600
1175,1,1,3,No,House,6898250
1966,2,1,5,Yes,House,14622250
2292,4,2,6,No,Others,12996720
1781,1,1,4,No,House,11430420
1075,1,1,3,No,Commercial,7541750
1056,1,1,3,Yes,House,9341900
948,1,1,3,No,Others,8159260
1002,1,1,3,No,Commercial,11515200
823,1,1,2,Yes,Others,6420875
856,1,1,3,No,Commercial,9656600
1432,2,1,4,No,House,8925160
742,1,1,2,Yes,Others,6037545
1743,2,1,4,Yes,Others,10882620
2311,4,2,6,No,Others,12784640
1055,1,1,3,No,Commercial,8060000
1641,2,1,4,Yes,Commercial,16137480
690,1,1,2,Yes,Commercial,6443000
756,1,1,2,Yes,Others,9960220
1704,2,1,4,No,Others,10906430
680,1,1,2,No,House,3404000
1734,1,1,4,No,Others,12683980
1033,1,1,3,Yes,Others,8057450
757,1,1,2,Yes,Commercial,9094750
1912,3,2,5,Yes,Others,10011470
845,1,1,3,No,Others,6519000
1275,2,1,4,No,Commercial,14008700
1173,1,1,3,Yes,House,9562650
1502,2,1,4,No,House,9325860
1187,1,1,3,Yes,Commercial,13533950
1889,2,1,5,No,Commercial,20707160
1853,2,1,5,No,House,11698300
603,1,1,2,No,House,5342000
2172,3,2,5,Yes,Commercial,17193660
1507,1,1,4,No,Commercial,17294550
692,1,1,2,No,Commercial,6999250
1897,3,2,5,No,House,7977570
1607,2,1,4,No,Others,8528780
1607,2,1,4,Yes,Commercial,14209800
1853,2,1,5,No,Others,13026640
1121,1,1,3,Yes,Others,10768720
2279,4,2,6,Yes,Others,13582900
729,1,1,2,No,Others,6853550
794,1,1,2,No,Commercial,10214695
800,1,1,2,Yes,Commercial,11900750
1292,2,1,4,No,Others,10309290
831,1,1,3,No,Others,7656640
1850,3,2,5,Yes,Commercial,15746590
1454,2,2,4,No,House,5829500
1053,1,1,3,No,Commercial,12486800
1115,1,1,3,Yes,House,9795370
1498,2,1,4,No,Others,9023100
992,1,1,3,Yes,House,10442550
520,1,1,2,Yes,House,4321000
833,1,1,3,No,Commercial,11280410
1114,1,1,3,No,Commercial,13551850
753,1,1,2,Yes,Commercial,8798750
1705,1,1,4,Yes,House,11813340
934,1,1,3,Yes,Commercial,12032720
1101,1,1,3,Yes,House,7704750
1104,1,1,3,Yes,Commercial,14395000
1085,1,1,3,No,Others,8716800
1015,1,1,3,Yes,Commercial,13076450
1389,2,2,4,Yes,House,8863750
1179,1,1,3,No,Others,10696480
855,1,1,3,Yes,Others,9354600
897,1,1,3,No,Others,9850425
1762,1,1,4,No,Others,13407250
726,1,1,2,No,Commercial,10370100
1285,2,1,4,Yes,Commercial,15982000
940,1,1,3,No,Commercial,11359500
1914,2,1,5,Yes,House,14499510
1285,2,2,4,No,Commercial,11955405
707,1,1,2,No,House,7133850
939,1,1,3,Yes,Commercial,12459650
1911,2,1,5,No,Commercial,21220250
1697,1,1,4,No,Others,12480160
740,1,1,2,Yes,House,9002750
1639,1,1,4,No,House,12041320
1210,2,1,4,No,House,9967250
1467,2,2,4,Yes,House,5729750
1412,2,2,4,No,Commercial,11673500
1124,1,1,3,No,Commercial,13030600
1996,2,1,5,No,Commercial,20618810
1632,2,2,4,No,Others,6827500
1021,1,1,3,No,Others,9338270
1448,2,2,4,No,Commercial,12252250
2450,4,2,6,No,House,11967520
941,1,1,3,Yes,House,9868000
1412,2,1,4,Yes,Others,10678140
1153,1,1,3,No,Commercial,12866800
1690,1,1,4,Yes,Commercial,19526110
1307,1,1,3,Yes,Others,9272780
1635,2,1,4,Yes,House,9570490
772,1,1,2,Yes,Commercial,10132150
1438,2,2,4,Yes,Commercial,12393500
1505,1,1,4,Yes,House,11086380
1635,2,2,4,No,House,8820750
1631,1,1,4,Yes,Others,12251750
1585,1,1,4,Yes,House,11828320
1117,1,1,3,No,Commercial,12704950
1296,1,1,3,Yes,Commercial,11235250
1238,2,1,4,No,Others,9258310
1859,3,2,5,Yes,Commercial,16018960
2239,4,2,6,No,House,11563580
1771,2,1,4,No,House,8129650
626,1,1,2,Yes,House,5251640
978,1,1,3,No,Others,8196110
1586,1,1,4,No,House,10259180
1196,1,1,3,No,Others,11135270
1225,2,1,4,Yes,Others,11116500
812,1,1,3,Yes,House,9663350
1436,2,2,4,No,Commercial,11799500
1019,1,1,3,Yes,Commercial,10472250
1203,2,1,4,Yes,Commercial,13491500
1027,1,1,3,No,Commercial,11827400
1974,3,2,5,Yes,House,11031970
1746,2,1,4,Yes,House,9964150
1711,2,1,4,No,Others,10248940
1918,2,1,5,Yes,House,12574290
1083,1,1,3,No,Others,5159375
826,1,1,2,No,Others,4646250
1624,2,1,4,No,Others,9031800
1122,1,1,3,No,Commercial,13180400
1906,2,1,5,No,Commercial,20020970
849,1,1,3,No,Others,7061130
1793,1,1,4,Yes,House,12813210
1936,3,2,5,Yes,House,10737430
1956,3,2,5,Yes,House,9590830
1778,3,2,5,Yes,House,10502000
1075,1,1,3,No,Commercial,8543500
541,1,1,2,Yes,Others,4894125
1166,1,1,3,No,Commercial,14248200
533,1,1,2,No,Others,3000375
738,1,1,2,Yes,House,7660600
1771,1,1,4,Yes,Commercial,20591120
1687,1,1,4,Yes,House,11407570
1970,3,2,5,No,Commercial,14949120
1620,2,2,4,Yes,House,9163250
668,1,1,2,No,Others,3781250
1542,2,1,4,Yes,House,10453060
1551,1,1,4,No,Others,12435730
2221,4,2,6,No,Others,11682020
1522,2,1,4,No,Others,9268680
1539,2,1,4,Yes,House,9879360
1866,2,1,5,Yes,Others,15678280
1874,2,1,5,Yes,Others,14602660
2097,3,2,5,No,Others,10668780
1159,1,1,3,No,Commercial,12415500
1438,2,1,4,Yes,Commercial,14509000
863,1,1,3,No,Others,7341810
1292,1,1,3,No,Commercial,10339000
1691,1,1,4,Yes,House,12549660
1894,2,1,5,Yes,House,12680410
1174,1,1,3,No,Commercial,13328250
1838,3,2,5,No,House,9952680
1582,2,2,4,No,Commercial,12570750
1951,3,2,5,No,House,9772960
1237,1,1,3,Yes,Others,6823875
1989,3,2,5,Yes,Others,9188290
1129,1,1,3,Yes,Commercial,14614100
768,1,1,2,Yes,House,7462400
1056,1,1,3,No,Others,6930720
1585,1,1,4,No,Commercial,17805860
1789,3,2,5,Yes,House,11874360
1869,3,2,5,No,Commercial,15941330
520,1,1,2,No,Commercial,5246250
738,1,1,2,Yes,Commercial,10625000
1914,3,2,5,Yes,House,11781260
1576,1,1,4,No,Others,12560000
869,1,1,3,No,House,6831950
635,1,1,2,No,House,6000900
1875,2,1,5,Yes,House,14640260
2344,4,2,6,No,Commercial,18963740
1804,2,1,5,Yes,House,14507380
985,1,1,3,No,Others,7375400
1589,1,1,4,Yes,Commercial,18676960
1390,2,2,4,Yes,Others,7941000
2435,4,2,6,No,House,12911300
1145,1,1,3,Yes,Others,11804935
714,1,1,2,No,House,8191450
1174,1,1,3,No,Commercial,12980150
